time current_floor direction destination
02:22:00:1 2 up 18
02:22:12:4 1 up 19
02:22:25:3 1 up 20
02:22:38:0 2 down 1
02:22:50:4 3 up 7
02:23:03:1 6 down 1
02:23:15:4 9 up 12
02:23:28:1 12 up 15
02:23:40:4 15 down 10
02:23:53:1 10 down 5
02:24:05:4 13 up 18
02:24:18:5 16 down 11
02:24:30:4 11 down 5
02:24:43:1 6 down 2
02:24:55:4 9 up 16
02:25:08:1 12 up 19
02:25:20:4 15 down 10
02:25:33:1 10 down 5
02:25:45:4 13 up 18
02:25:58:1 16 up 21
02:26:10:4 19 down 15
02:26:23:1 14 down 8
02:26:35:4 9 up 16
02:26:48:1 12 down 7
02:27:00:4 7 down 2
02:27:13:1 2 up 6
02:27:25:4 5 up 9
02:27:38:1 8 up 12
02:27:50:4 11 up 15
02:28:03:1 14 down 9
02:28:15:4 9 down 4
02:28:28:1 4 down 1
02:28:40:4 1 up 5
02:28:53:1 6 up 10
02:29:05:4 9 down 4
02:29:18:1 4 up 8
02:29:30:4 7 up 11
02:29:43:1 10 up 14
02:29:55:4 13 up 17
02:30:08:1 16 down 12
02:30:20:4 11 down 6
02:30:33:1 6 down 1
02:30:45:4 1 up 5
02:30:58:1 4 down 1
02:31:10:4 1 up 6
02:31:23:1 7 up 11
02:31:35:4 10 up 14
02:31:48:1 13 up 18
